time_index,area,num_people,area_m2,density,congestion
1,Outside,127,,,
1,K,13,620.3470150691795,0.0209560128189708,0.0419120256379416
1,G,5,440.4463806991165,0.0113521196202442,0.0227042392404884
1,D,13,616.3836869173489,0.0210907593369569,0.0421815186739138
1,F,8,438.7231945461476,0.0182347322855265,0.036469464571053
1,E,15,583.1261941650279,0.0257234199905533,0.0514468399811066
1,H,9,628.9629458340296,0.0143092690270738,0.0286185380541476
1,GH,14,844.1888963399747,0.0165839660539219,0.0331679321078438
1,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
1,IM2,2,464.7433054559947,0.0043034509083194,0.0086069018166388
1,J,3,562.7925975599836,0.005330560517332,0.010661121034664
1,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
1,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
1,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
1,N,0,500.4132588224709,0.0,0.0
1,M,0,672.0425996582782,0.0,0.0
1,A,0,595.5331344664123,0.0,0.0
2,Outside,136,,,
2,K,12,620.3470150691795,0.0193440118328961,0.0386880236657922
2,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
2,D,7,616.3836869173489,0.0113565627198998,0.0227131254397996
2,F,9,438.7231945461476,0.0205140738212174,0.0410281476424348
2,E,11,583.1261941650279,0.0188638413264058,0.0377276826528116
2,H,12,628.9629458340296,0.0190790253694317,0.0381580507388634
2,GH,14,844.1888963399747,0.0165839660539219,0.0331679321078438
2,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
2,IM2,0,464.7433054559947,0.0,0.0
2,J,3,562.7925975599836,0.005330560517332,0.010661121034664
2,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
2,IM1,0,414.08163255867794,0.0,0.0
2,L,0,660.6695710486767,0.0,0.0
2,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
2,M,0,672.0425996582782,0.0,0.0
2,A,0,595.5331344664123,0.0,0.0
3,Outside,131,,,
3,K,7,620.3470150691795,0.0112840069025227,0.0225680138050454
3,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
3,D,17,616.3836869173489,0.0275802237483282,0.0551604474966564
3,F,7,438.7231945461476,0.0159553907498357,0.0319107814996714
3,E,13,583.1261941650279,0.0222936306584796,0.0445872613169592
3,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
3,GH,16,844.1888963399747,0.0189531040616251,0.0379062081232502
3,B,0,736.6620803946497,0.0,0.0
3,IM2,0,464.7433054559947,0.0,0.0
3,J,6,562.7925975599836,0.0106611210346641,0.0213222420693282
3,C,5,637.5788765988797,0.0078421669592822,0.0156843339185644
3,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
3,L,0,660.6695710486767,0.0,0.0
3,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
3,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
3,A,0,595.5331344664123,0.0,0.0
4,Outside,156,,,
4,K,5,620.3470150691795,0.0080600049303733,0.0161200098607466
4,G,11,440.4463806991165,0.0249746631645373,0.0499493263290746
4,D,13,616.3836869173489,0.0210907593369569,0.0421815186739138
