time_index,area,num_people
1,Outside,96
1,IM1,8
1,E,21
1,C,3
1,K,6
1,N,6
1,H,13
1,GH,15
1,G,16
1,F,12
1,D,11
1,L,2
1,IM2,1
1,J,2
1,B,1
1,M,0
1,A,0
2,Outside,107
2,IM1,13
2,E,19
2,C,3
2,K,4
2,N,7
2,H,12
2,GH,11
2,G,10
2,F,9
2,D,8
2,L,1
2,IM2,5
2,J,3
2,B,3
2,M,0
2,A,0
3,Outside,110
3,IM1,9
3,E,14
3,C,5
3,K,4
3,N,5
3,H,14
3,GH,7
3,G,13
3,F,11
3,D,7
3,L,2
3,IM2,4
3,J,1
3,B,4
3,M,0
3,A,0
4,Outside,114
4,IM1,7
4,E,12
4,C,3
4,K,2
4,N,7
4,H,16
4,GH,9
4,G,11
4,F,10
4,D,7
4,L,3
4,IM2,2
4,J,6
4,B,4
4,M,0
4,A,0
5,Outside,114
5,IM1,9
5,E,17
5,C,3
5,K,3
5,N,8
5,H,10
5,GH,9
5,G,11
5,F,15
5,D,8
5,L,5
5,IM2,1
5,J,1
5,B,4
5,M,0
5,A,0
6,Outside,107
6,IM1,13
6,E,15
6,C,4
6,K,4
6,N,8
6,H,12
6,GH,5
6,G,10
6,F,19
6,D,10
6,L,2
6,IM2,3
6,J,5
6,B,3
6,M,0
6,A,0
7,Outside,110
7,IM1,12
7,E,15
7,C,6
7,K,4
7,N,5
7,H,13
7,GH,9
7,G,13
7,F,13
7,D,13
7,L,3
7,IM2,2
7,J,4
7,B,1
7,M,2
7,A,0
8,Outside,96
8,IM1,18
8,E,13
8,C,5
8,K,8
8,N,5
8,H,17
8,GH,11
8,G,9
8,F,17
8,D,12
8,L,3
8,IM2,4
8,J,3
8,B,2
8,M,0
8,A,0
9,Outside,107
9,IM1,12
9,E,15
9,C,7
9,K,6
9,N,6
9,H,15
9,GH,8
9,G,12
9,F,13
9,D,8
9,L,3
9,IM2,4
9,J,0
9,B,0
9,M,0
9,A,0
10,Outside,96
10,IM1,17
10,E,15
10,C,7
10,K,5
10,N,5
10,H,14
10,GH,8
10,G,11
10,F,21
10,D,12
10,L,3
10,IM2,2
10,J,2
10,B,2
10,M,0
10,A,0
11,Outside,119
11,IM1,15
11,E,16
11,C,5
11,K,7
11,N,5
11,H,12
11,GH,4
11,G,9
11,F,13
11,D,10
11,L,1
11,IM2,3
11,J,5
11,B,0
11,M,0
11,A,0
12,Outside,114
12,IM1,16
12,E,15
12,C,5
12,K,4
12,N,6
12,H,16
12,GH,12
12,G,8
12,F,14
12,D,10
12,L,2
12,IM2,1
12,J,1
12,B,3
12,M,0
12,A,0
13,Outside,120
13,IM1,13
13,E,13
13,C,5
13,K,6
13,N,5
13,H,10
13,GH,12
13,G,15
13,F,16
13,D,11
13,L,1
13,IM2,5
13,J,3
13,B,3
13,M,2
13,A,0
14,Outside,105
14,IM1,11
14,E,15
14,C,9
14,K,6
14,N,8
14,H,15
14,GH,11
14,G,20
14,F,15
14,D,13
14,L,2
14,IM2,2
14,J,1
14,B,2
14,M,2
14,A,0
15,Outside,102
15,IM1,14
15,E,16
15,C,5
15,K,7
15,N,10
15,H,14
15,GH,11
15,G,16
15,F,14
15,D,15
15,L,1
15,IM2,3
15,J,2
15,B,1
15,M,0
15,A,0
16,Outside,105
16,IM1,17
16,E,15
16,C,4
16,K,6
16,N,6
16,H,14
16,GH,11
16,G,9
16,F,14
16,D,13
16,L,2
16,IM2,1
16,J,1
16,B,2
16,M,0
16,A,1
17,Outside,113
17,IM1,5
17,E,20
17,C,6
17,K,4
17,N,6
17,H,13
17,GH,12
17,G,13
17,F,12
17,D,12
17,L,2
17,IM2,6
17,J,3
17,B,2
17,M,0
17,A,0
18,Outside,100
18,IM1,1
18,E,15
18,C,7
18,K,5
18,N,9
18,H,15
18,GH,11
18,G,15
18,F,19
18,D,17
18,L,1
18,IM2,3
18,J,3
18,B,3
18,M,1
18,A,0
19,Outside,94
19,IM1,17
19,E,12
19,C,4
19,K,5
19,N,11
19,H,16
19,GH,10
19,G,15
19,F,14
19,D,13
19,L,1
19,IM2,3
19,J,2
19,B,5
19,M,0
19,A,0
20,Outside,98
20,IM1,8
20,E,30
20,C,5
20,K,4
20,N,9
20,H,16
20,GH,4
20,G,15
20,F,5
20,D,16
20,L,1
20,IM2,4
20,J,1
20,B,4
20,M,0
20,A,0
21,Outside,105
21,IM1,1
21,E,29
21,C,4
21,K,6
21,N,9
21,H,17
21,GH,8
21,G,12
21,F,14
21,D,12
21,L,1
21,IM2,3
21,J,1
21,B,4
21,M,0
21,A,0
22,Outside,115
22,IM1,13
22,E,14
22,C,4
22,K,8
22,N,9
22,H,18
22,GH,9
22,G,9
22,F,13
22,D,12
22,L,3
22,IM2,3
22,J,2
22,B,2
22,M,1
22,A,0
23,Outside,123
23,IM1,12
23,E,12
23,C,6
23,K,7
23,N,9
23,H,13
23,GH,9
23,G,13
23,F,7
23,D,14
23,L,4
23,IM2,2
23,J,2
23,B,4
23,M,0
23,A,0
24,Outside,115
24,IM1,4
24,E,20
24,C,4
24,K,7
24,N,6
24,H,16
24,GH,4
24,G,8
24,F,21
24,D,14
24,L,1
24,IM2,4
24,J,2
24,B,3
24,M,0
24,A,0
25,Outside,108
25,IM1,2
25,E,16
25,C,5
25,K,6
25,N,7
25,H,14
25,GH,10
25,G,17
25,F,26
25,D,12
25,L,1
25,IM2,3
25,J,1
25,B,2
25,M,0
25,A,0
26,Outside,110
26,IM1,1
26,E,18
26,C,4
26,K,7
26,N,7
26,H,11
26,GH,9
26,G,15
26,F,25
26,D,15
26,L,1
26,IM2,5
26,J,1
26,B,3
26,M,0
26,A,0
27,Outside,105
27,IM1,5
27,E,22
27,C,5
27,K,6
27,N,7
27,H,10
27,GH,4
27,G,16
27,F,27
27,D,12
27,L,1
27,IM2,7
27,J,1
27,B,2
27,M,0
27,A,0
28,Outside,114
28,IM1,9
28,E,13
28,C,4
28,K,4
28,N,7
28,H,9
28,GH,8
28,G,17
28,F,18
28,D,15
28,L,3
28,IM2,3
28,J,2
28,B,4
