time_index,area,num_people
1,Outside,94
1,K,14
1,N,1
1,G,8
1,B,3
1,D,16
1,E,16
1,F,10
1,H,10
1,J,5
1,IM1,11
1,GH,14
1,IM2,6
1,L,3
1,C,5
1,M,1
1,A,0
2,Outside,108
2,K,13
2,N,1
2,G,11
2,B,5
2,D,12
2,E,13
2,F,10
2,H,14
2,J,3
2,IM1,5
2,GH,14
2,IM2,2
2,L,0
2,C,5
2,M,1
2,A,0
3,Outside,96
3,K,10
3,N,1
3,G,11
3,B,1
3,D,18
3,E,17
3,F,11
3,H,16
3,J,6
3,IM1,13
3,GH,16
3,IM2,3
3,L,0
3,C,7
3,M,2
3,A,0
4,Outside,113
4,K,7
4,N,2
4,G,15
4,B,3
4,D,15
4,E,9
4,F,11
4,H,14
4,J,5
4,IM1,17
4,GH,12
4,IM2,5
4,L,0
4,C,3
4,M,2
4,A,0
5,Outside,90
5,K,15
5,N,2
5,G,19
5,B,4
5,D,14
5,E,15
5,F,11
5,H,13
5,J,3
5,IM1,16
5,GH,15
5,IM2,4
5,L,0
5,C,7
5,M,1
5,A,0
6,Outside,102
6,K,11
6,N,1
6,G,17
6,B,3
6,D,16
6,E,14
6,F,10
6,H,13
6,J,6
6,IM1,19
6,GH,10
6,IM2,1
6,L,2
6,C,7
6,M,1
6,A,0
7,Outside,103
7,K,10
7,N,2
7,G,20
7,B,6
7,D,16
7,E,16
7,F,11
7,H,11
7,J,5
7,IM1,12
7,GH,11
7,IM2,0
7,L,1
7,C,3
7,M,1
7,A,0
8,Outside,79
8,K,14
8,N,2
8,G,14
8,B,4
8,D,23
8,E,21
8,F,13
8,H,15
8,J,5
8,IM1,13
8,GH,7
8,IM2,7
8,L,3
8,C,6
8,M,2
8,A,0
9,Outside,95
9,K,9
9,N,2
9,G,19
9,B,6
9,D,12
9,E,20
9,F,9
9,H,19
9,J,6
9,IM1,16
9,GH,9
9,IM2,0
9,L,3
9,C,6
9,M,1
9,A,0
10,Outside,87
10,K,11
10,N,2
10,G,19
10,B,4
10,D,19
10,E,16
10,F,10
10,H,14
10,J,4
10,IM1,16
10,GH,11
10,IM2,4
10,L,3
10,C,9
10,M,0
10,A,0
11,Outside,102
11,K,12
11,N,1
11,G,15
11,B,4
11,D,14
11,E,12
11,F,8
11,H,15
11,J,3
11,IM1,17
11,GH,14
11,IM2,4
11,L,4
11,C,10
11,M,0
11,A,0
12,Outside,99
12,K,5
12,N,1
12,G,12
12,B,5
12,D,13
12,E,15
12,F,14
12,H,16
12,J,6
12,IM1,7
12,GH,12
12,IM2,7
12,L,3
12,C,5
